Local_Start_Date,Characters,WPM
2023-10-29,29415,135.6896614989243
2023-11-03,10528,134.10502405029126
2023-11-05,25289,127.23989878955223
2023-11-06,6119,129.84946952254901
2023-11-11,9209,132.20685299386665
2023-11-12,31286,128.4277010340996
2023-11-14,11639,137.71375454217392
2023-11-15,14986,126.74222927569231
2023-11-16,12483,133.55885879403846
2023-11-17,12919,130.6901851208911
2023-11-18,48277,128.14117221243242
2023-11-19,52402,130.14085990131926
2023-11-20,17308,135.02003193528168
2023-11-21,14762,141.04779489963963
2023-11-25,11124,133.26405267357143
2023-11-26,25110,134.83535615302566
2023-11-28,33352,137.70674157254098
2023-11-29,18013,142.57610330043795
2023-12-01,21786,141.97924647590645
2023-12-02,41568,133.45505583402922
2023-12-03,5767,134.19628933025473
2023-12-04,16474,133.03460606294163
2023-12-05,8035,136.61065286747873
2023-12-06,18346,137.316846087816
2023-12-07,24919,128.41868936445167
2023-12-08,6723,142.33234566103388
2023-12-09,19346,131.23150122201164
2023-12-10,28528,132.08355605652554
2023-12-12,13445,139.94712702495232
2023-12-16,6190,142.5781539398573
