,Book_Order,Book_Name,Chapter_Name,Book_and_Chapter,Characters,Characters_Typed,Proportion Typed
0,1,GEN,1,GEN 1,3831,3831,1.0
1,1,GEN,2,GEN 2,2966,2966,1.0
2,1,GEN,3,GEN 3,3247,3247,1.0
3,1,GEN,4,GEN 4,2993,2993,1.0
4,1,GEN,5,GEN 5,2965,2965,1.0
5,1,GEN,6,GEN 6,2707,2707,1.0
6,1,GEN,7,GEN 7,2669,2669,1.0
7,1,GEN,8,GEN 8,2735,2735,1.0
8,1,GEN,9,GEN 9,3130,3130,1.0
9,1,GEN,10,GEN 10,2582,2582,1.0
10,1,GEN,11,GEN 11,3435,3435,1.0
11,1,GEN,12,GEN 12,2473,2473,1.0
12,1,GEN,13,GEN 13,2169,2169,1.0
13,1,GEN,14,GEN 14,3050,3050,1.0
14,1,GEN,15,GEN 15,2262,2262,1.0
15,1,GEN,16,GEN 16,2022,2022,1.0
16,1,GEN,17,GEN 17,3448,3448,1.0
17,1,GEN,18,GEN 18,4059,4059,1.0
18,1,GEN,19,GEN 19,5193,5193,1.0
19,1,GEN,20,GEN 20,2472,2472,1.0
20,1,GEN,21,GEN 21,3750,3750,1.0
21,1,GEN,22,GEN 22,2932,2932,1.0
22,1,GEN,23,GEN 23,2577,2577,1.0
23,1,GEN,24,GEN 24,8490,8490,1.0
24,1,GEN,25,GEN 25,3454,3454,1.0
25,1,GEN,26,GEN 26,4288,4288,1.0
26,1,GEN,27,GEN 27,5813,5813,1.0
27,1,GEN,28,GEN 28,2929,2929,1.0
28,1,GEN,29,GEN 29,3955,3955,1.0
29,1,GEN,30,GEN 30,4945,4945,1.0
30,1,GEN,31,GEN 31,6821,6821,1.0
31,1,GEN,32,GEN 32,3980,3980,1.0
32,1,GEN,33,GEN 33,2488,2488,1.0
33,1,GEN,34,GEN 34,3891,3891,1.0
34,1,GEN,35,GEN 35,3145,3145,1.0
35,1,GEN,36,GEN 36,4463,4463,1.0
36,1,GEN,37,GEN 37,4603,4603,1.0
37,1,GEN,38,GEN 38,3806,3806,1.0
38,1,GEN,39,GEN 39,2913,2913,1.0
39,1,GEN,40,GEN 40,2787,2787,1.0
40,1,GEN,41,GEN 41,6768,6768,1.0
41,1,GEN,42,GEN 42,4798,4798,1.0
42,1,GEN,43,GEN 43,4533,4533,1.0
43,1,GEN,44,GEN 44,4119,4119,1.0
44,1,GEN,45,GEN 45,3559,3559,1.0
45,1,GEN,46,GEN 46,3758,3758,1.0
46,1,GEN,47,GEN 47,4875,4875,1.0
47,1,GEN,48,GEN 48,3188,3188,1.0
48,1,GEN,49,GEN 49,3845,3845,1.0
49,1,GEN,50,GEN 50,3412,3412,1.0
50,2,EXO,1,EXO 1,2342,2342,1.0
51,2,EXO,2,EXO 2,3073,3073,1.0
52,2,EXO,3,EXO 3,3658,3658,1.0
53,2,EXO,4,EXO 4,4090,4090,1.0
54,2,EXO,5,EXO 5,3075,3075,1.0
55,2,EXO,6,EXO 6,3713,3713,1.0
56,2,EXO,7,EXO 7,3399,3399,1.0
57,2,EXO,8,EXO 8,4667,4667,1.0
58,2,EXO,9,EXO 9,4841,4841,1.0
59,2,EXO,10,EXO 10,4368,4368,1.0
60,2,EXO,11,EXO 11,1591,1591,1.0
61,2,EXO,12,EXO 12,7280,7280,1.0
62,2,EXO,13,EXO 13,3274,3274,1.0
63,2,EXO,14,EXO 14,4584,4584,1.0
64,2,EXO,15,EXO 15,3543,3543,1.0
65,2,EXO,16,EXO 16,5078,5078,1.0
66,2,EXO,17,EXO 17,2197,2197,1.0
67,2,EXO,18,EXO 18,3710,3710,1.0
68,2,EXO,19,EXO 19,3397,3397,1.0
69,2,EXO,20,EXO 20,2879,2879,1.0
70,2,EXO,21,EXO 21,4271,4271,1.0
71,2,EXO,22,EXO 22,3810,3810,1.0
72,2,EXO,23,EXO 23,4133,4133,1.0
73,2,EXO,24,EXO 24,2305,2305,1.0
74,2,EXO,25,EXO 25,4284,4284,1.0
75,2,EXO,26,EXO 26,4751,4751,1.0
76,2,EXO,27,EXO 27,2830,2830,1.0
77,2,EXO,28,EXO 28,6040,6040,1.0
78,2,EXO,29,EXO 29,6359,6359,1.0
79,2,EXO,30,EXO 30,4767,4767,1.0
80,2,EXO,31,EXO 31,2202,2202,1.0
81,2,EXO,32,EXO 32,5310,5310,1.0
82,2,EXO,33,EXO 33,3247,3247,1.0
83,2,EXO,34,EXO 34,5077,5077,1.0
84,2,EXO,35,EXO 35,4118,4118,1.0
85,2,EXO,36,EXO 36,4655,4655,1.0
86,2,EXO,37,EXO 37,3284,3284,1.0
87,2,EXO,38,EXO 38,4249,4249,1.0
88,2,EXO,39,EXO 39,5089,5089,1.0
89,2,EXO,40,EXO 40,3952,3952,1.0
90,3,LEV,1,LEV 1,2435,2435,1.0
91,3,LEV,2,LEV 2,2302,2302,1.0
