,Book,Tests,WPM
0,REV,1,161.0931056
1,2JN,4,151.78386175
2,JHN,8,150.95914145
3,JUD,1,148.6723345
4,3JN,15,147.63010963999997
5,SNG,3,144.08430026666665
6,2KI,1,143.5314685
7,MRK,1,141.028926
8,DEU,962,138.1466850508524
9,1JN,105,138.06118732866665
10,LUK,1150,136.98421270326958
11,LEV,859,136.7590742914319
12,Total,8303,133.51420665872587
13,EXO,1225,133.2778285848653
14,NUM,1290,131.10109441925582
15,GEN,1571,130.92720694418205
16,JDG,440,130.78900615038881
17,ESG,2,129.9559277
18,JOS,664,128.19081639019578
19,PSA,1,113.023244
