Character,Count,Time Used to Type Last Character (ms)
h,1670,27.765393257141113
d,802,41.73922538757324
D,43,42.56439208984375
_,5529,45.15242576599121
g,345,47.52635955810547
e,2633,55.3278923034668
R,43,56.28085136413574
k,248,56.564927101135254
n,1532,59.14747714996338
u,618,59.690237045288086
r,1175,63.85064125061035
a,1914,64.43214416503906
o,1877,68.92776489257812
y,292,72.41976261138916
",",415,72.57866859436035
i,1242,73.05598258972168
.,274,73.16315174102783
O,45,74.71537590026855
l,1313,82.38005638122559
f,725,85.51263809204102
s,1408,86.85171604156494
v,165,87.05496788024902
;,47,88.3629322052002
',28,95.33214569091797
p,310,101.64988040924072
t,2137,101.99308395385742
c,467,102.25772857666016
J,1,103.16848754882812
E,3,104.74491119384766
m,451,115.44418334960938
I,58,117.08974838256836
b,423,120.53585052490234
F,1,127.44402885437012
q,7,128.24010848999023
-,6,130.8673620223999
N,1,130.88512420654297
(,2,132.23254680633545
H,3,136.0476016998291
G,6,137.80546188354492
T,37,144.2275047302246
w,356,145.05064487457275
Y,26,145.14672756195068
z,17,145.35999298095703
x,13,145.39337158203125
A,36,145.5676555633545
S,1,145.89238166809082
j,9,148.82183074951172
L,44,159.25586223602295
M,22,159.33239459991455
"""",14,164.49105739593506
U,2,207.01777935028076
B,1,216.10116958618164
:,19,216.33124351501465
),2,233.49237442016602
C,1,238.40856552124023
W,4,240.5639886856079
