,Local_Start_Hour,Number of Tests,WPM
0,0,695,135.27197342098972
1,1,53,133.94424367603773
2,7,120,136.94636436083334
3,8,283,134.90862051925794
4,9,529,133.74489224799623
5,10,58,134.53125847465517
6,11,49,143.91070677959183
7,12,308,137.56669414957793
8,13,394,131.488753143401
9,14,77,136.27331368974026
10,15,310,130.5328705280968
11,16,346,134.14377022063584
12,17,532,134.05189287939848
13,18,998,131.63003996122245
14,19,588,133.41360832238095
15,20,64,133.71313188390624
16,21,320,133.4519393604375
17,22,950,132.18678388990526
18,23,1354,134.4645719793279
