Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Start_Year,Local_Start_Month,Local_Start_Hour,Count,Local_Start_Date,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,Mistake_Free_Test,WPM_Rank,WPM_Percentile,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Min Character Time (ms),Median Character Time (ms),Max Character Time (ms),Backspace % Last 10 Avg,Backspace % Last 100 Avg,Backspace % Last 1000 Avg,Session,Test_#_Within_Session,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,Test #
6527,1,1703873417.0,2023-12-29 13:10:17.088901,2023-12-29 18:10:17.088901+00:00,73,4.3037524,16.96194233,203.5433079,EXO,37,2610,"He put the poles into the rings on the sides of the ark, to bear the ark.",5.0,166.08015056000002,138.64480207,134.56656199962,133.626,2023,12,13,1,2023-12-29,10,2,1,1,2023-12-29 13:10:21.392653400,2023,12,2023-12-29,13,10,1,2,1,1.0,1,100.0,0.0,0.0,,,,,,,143,9,5.181017612100002,,,,,,,,,,,6527
2763,2,1701045680.0,2023-11-26 19:41:20.287025,2023-11-27 00:41:20.287025+00:00,73,4.364863157,16.72446475,200.693577,EXO,37,2610,"He put the poles into the rings on the sides of the ark, to bear the ark.",5.0,144.33800804,132.8078305184,132.63921414415998,131.686,2023,11,19,1,2023-11-26,41,5,3,2,2023-11-26 19:41:24.651888157,2023,11,2023-11-26,19,41,3,5,2,1.0,2,99.98754359740907,0.0,0.0,12.52985001,57.39474297,132.1246624,4.474728013,5.874628408,,91,4,4.474728012999999,5.78991869006,,,,,,,,,,2763
6526,3,1703873409.0,2023-12-29 13:10:08.728481,2023-12-29 18:10:08.728481+00:00,73,4.4047846,16.57288758,198.874651,EXO,37,2610,"He put the poles into the rings on the sides of the ark, to bear the ark.",5.0,159.52272727999997,137.941697453,134.50925320402,133.616,2023,12,13,1,2023-12-29,10,2,1,1,2023-12-29 13:10:13.133265600,2023,12,2023-12-29,13,10,1,2,1,1.0,3,99.97508719481813,0.0,0.0,,,,,,,143,8,5.895303326400001,,,,,,,,,,,6526
6502,4,1703872820.0,2023-12-29 13:00:19.744661,2023-12-29 18:00:19.744661+00:00,56,3.3883925,16.52701096,198.3241316,GEN,1,1,"In the beginning, God created the heavens and the earth.",1.0,143.44607775,135.1211745876,134.11208019663002,133.57,2023,12,13,1,2023-12-29,0,1,1,1,2023-12-29 13:00:23.133053500,2023,12,2023-12-29,13,0,1,1,1,1.0,4,99.9626307922272,0.0,0.0,,,,,,,142,19,7.892927370200002,,,,,,,,,,,6502
6525,5,1703873396.0,2023-12-29 13:09:56.265923,2023-12-29 18:09:56.265923+00:00,73,4.4194723,16.51780915,198.2137098,EXO,37,2610,"He put the poles into the rings on the sides of the ark, to bear the ark.",5.0,150.81221976,137.551291586,134.41258518441998,133.606,2023,12,13,1,2023-12-29,9,1,1,1,2023-12-29 13:10:00.685395300,2023,12,2023-12-29,13,10,1,2,1,1.0,5,99.95017438963627,0.0,0.0,,,,,,,143,7,7.859589040400001,,,,,,,,,,,6525
6541,6,1703908825.0,2023-12-29 23:00:24.788227,2023-12-30 04:00:24.788227+00:00,56,3.4044121,16.44924244,197.3909093,GEN,1,1,"In the beginning, God created the heavens and the earth.",1.0,146.2497998,141.1592834824,134.86396042112,133.661,2023,12,23,1,2023-12-29,0,1,1,1,2023-12-29 23:00:28.192639100,2023,12,2023-12-29,23,0,1,1,1,1.0,6,99.93771798704533,0.0,0.0,,,,,,,146,1,3.567381721600001,,,,,,,,,,,6541
6542,7,1703908845.0,2023-12-29 23:00:44.509697,2023-12-30 04:00:44.509697+00:00,56,3.4050257,16.44627822,197.3553386,GEN,1,1,"In the beginning, God created the heavens and the earth.",1.0,150.41314239000002,141.6698705604,134.91416645392,133.671,2023,12,23,1,2023-12-29,0,1,1,1,2023-12-29 23:00:47.914722700,2023,12,2023-12-29,23,0,1,1,1,1.0,7,99.9252615844544,0.0,0.0,,,,,,,146,2,3.567381721600001,,,,,,,,,,,6542
6522,8,1703873346.0,2023-12-29 13:09:06.061656,2023-12-29 18:09:06.061656+00:00,73,4.4891522,16.26142237,195.1370684,EXO,37,2610,"He put the poles into the rings on the sides of the ark, to bear the ark.",5.0,142.77062057,136.397147844,134.30886026862,133.592,2023,12,13,1,2023-12-29,9,1,1,1,2023-12-29 13:09:10.550808200,2023,12,2023-12-29,13,9,1,1,1,1.0,8,99.91280518186348,0.0,0.0,,,,,,,143,4,9.525440312400002,,,,,,,,,,,6522
29,9,1698283792.0,2023-10-25 21:29:51.817669,2023-10-26 01:29:51.817669+00:00,56,3.477333784,16.10429239,193.2515087,GEN,1,1,"In the beginning, God created the heavens and the earth.",1.0,148.77223306000002,,,129.881,2023,10,21,1,2023-10-25,29,3,2,1,2023-10-25 21:29:55.295002784,2023,10,2023-10-25,21,29,2,3,1,,9,99.90034877927255,,,,,,,,,8,5,,,,,,,,,,,,29
5621,10,1703310041.0,2023-12-23 00:40:40.628810,2023-12-23 05:40:40.628810+00:00,56,3.4902866,16.04452769,192.5343323,LUK,22,30210,"They spoke many other things against him, insulting him.",65.0,140.77461225999997,133.770974912,135.07692918845999,133.472,2023,12,0,1,2023-12-23,40,5,3,2,2023-12-23 00:40:44.119096600,2023,12,2023-12-23,0,40,3,5,2,1.0,10,99.88789237668162,0.0,0.0,,,,,,,133,53,3.590566901,6.69201978518,6.282776646667,,,,,,,,,5621
969,11,1699821488.0,2023-11-12 15:38:07.686799,2023-11-12 20:38:07.686799+00:00,67,4.190650225,15.98797237,191.8556684,GEN,29,818,"Laban gathered together all the men of the place, and made a feast.",22.0,140.79138152000002,131.0813266996,,132.396,2023,11,15,1,2023-11-12,38,4,3,2,2023-11-12 15:38:11.877449225,2023,11,2023-11-12,15,38,3,4,2,,11,99.87543597409069,,,,,,,,,33,148,,,,,,,,,,,,969
6483,12,1703871124.0,2023-12-29 12:32:04.474900,2023-12-29 17:32:04.474900+00:00,100,6.277914,15.9288579,191.1462948,DEU,9,5175,"I took hold of the two tablets, and threw them out of my two hands, and broke them before your eyes.",17.0,141.49870461,133.2946501067,133.71816343116998,133.543,2023,12,12,1,2023-12-29,32,4,3,2,2023-12-29 12:32:10.752814000,2023,12,2023-12-29,12,32,3,4,2,1.0,12,99.86297957149975,0.0,0.0,,,,,,,141,1,4.174810487900001,,,,,,,,,,,6483
