Local_Start_Date,Local_End_Date,Characters,Rank,Rank and Date
2023-11-19,2023-11-19,52402,1,#1: 2023-11-19
2023-11-18,2023-11-18,48124,2,#2: 2023-11-18
2023-12-02,2023-12-02,41568,3,#3: 2023-12-02
2023-12-17,2023-12-17,34253,4,#4: 2023-12-17
2023-11-28,2023-11-28,33352,5,#5: 2023-11-28
2023-11-12,2023-11-12,31286,6,#6: 2023-11-12
2023-10-29,2023-10-29,29415,7,#7: 2023-10-29
2023-12-10,2023-12-10,28528,8,#8: 2023-12-10
2023-11-05,2023-11-05,25289,9,#9: 2023-11-05
2023-11-26,2023-11-26,25110,10,#10: 2023-11-26
2023-12-07,2023-12-07,24919,11,#11: 2023-12-07
2023-12-01,2023-12-01,21786,12,#12: 2023-12-01
2023-12-19,2023-12-19,21527,13,#13: 2023-12-19
2023-12-09,2023-12-09,19154,14,#14: 2023-12-09
2023-12-06,2023-12-06,18346,15,#15: 2023-12-06
2023-11-29,2023-11-29,18013,16,#16: 2023-11-29
2023-11-20,2023-11-20,17308,17,#17: 2023-11-20
2023-12-04,2023-12-04,16474,18,#18: 2023-12-04
2023-11-15,2023-11-15,14986,19,#19: 2023-11-15
2023-11-21,2023-11-21,14762,20,#20: 2023-11-21
2023-12-12,2023-12-12,13445,21,#21: 2023-12-12
2023-11-17,2023-11-17,12919,22,#22: 2023-11-17
2023-11-16,2023-11-16,12483,23,#23: 2023-11-16
2023-11-14,2023-11-14,11639,24,#24: 2023-11-14
2023-11-25,2023-11-25,10893,25,#25: 2023-11-25
2023-11-03,2023-11-03,10528,26,#26: 2023-11-03
2023-12-20,2023-12-20,9570,27,#27: 2023-12-20
2023-11-11,2023-11-11,9209,28,#28: 2023-11-11
2023-12-05,2023-12-05,8035,29,#29: 2023-12-05
2023-12-08,2023-12-08,6723,30,#30: 2023-12-08
2023-12-16,2023-12-16,6190,31,#31: 2023-12-16
2023-11-06,2023-11-06,6119,32,#32: 2023-11-06
2023-12-03,2023-12-03,5767,33,#33: 2023-12-03
2023-10-31,2023-10-31,4552,34,#34: 2023-10-31
2023-11-08,2023-11-08,3425,35,#35: 2023-11-08
2023-11-04,2023-11-04,2776,36,#36: 2023-11-04
2023-12-14,2023-12-14,2334,37,#37: 2023-12-14
2023-11-30,2023-11-30,2110,38,#38: 2023-11-30
2023-10-24,2023-10-24,2055,39,#39: 2023-10-24
2023-11-24,2023-11-24,1274,40,#40: 2023-11-24
2023-10-25,2023-10-25,1227,41,#41: 2023-10-25
2023-10-28,2023-10-28,774,42,#42: 2023-10-28
2023-11-02,2023-11-02,612,43,#43: 2023-11-02
2023-11-23,2023-11-23,210,44,#44: 2023-11-23
2023-11-01,2023-11-01,103,45,#45: 2023-11-01
2023-10-27,2023-10-27,53,46,#46: 2023-10-27
