Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Characters,Hour
2023-11-18,2023-11-18,13,13,32183,2023-11-18 13
2023-11-12,2023-11-12,15,15,28510,2023-11-12 15
2023-11-19,2023-11-19,17,17,27405,2023-11-19 17
2023-10-29,2023-10-29,19,19,21991,2023-10-29 19
2023-11-05,2023-11-05,18,18,18566,2023-11-05 18
2023-11-18,2023-11-18,23,23,12200,2023-11-18 23
2023-11-17,2023-11-17,8,8,11006,2023-11-17 8
2023-11-16,2023-11-16,21,21,10304,2023-11-16 21
2023-11-19,2023-11-19,19,19,9868,2023-11-19 19
2023-11-21,2023-11-21,23,23,9482,2023-11-21 23
2023-11-19,2023-11-19,18,18,8309,2023-11-19 18
2023-11-15,2023-11-15,9,9,8180,2023-11-15 9
2023-11-14,2023-11-14,18,18,7547,2023-11-14 18
2023-11-11,2023-11-11,17,17,7256,2023-11-11 17
2023-11-05,2023-11-05,19,19,6723,2023-11-05 19
2023-11-19,2023-11-19,10,10,6216,2023-11-19 10
2023-11-03,2023-11-03,23,23,5603,2023-11-03 23
2023-11-20,2023-11-20,22,22,5562,2023-11-20 22
2023-11-20,2023-11-20,18,18,5294,2023-11-20 18
2023-11-03,2023-11-03,22,22,4925,2023-11-03 22
2023-11-15,2023-11-15,8,8,4921,2023-11-15 8
2023-10-29,2023-10-29,0,0,4780,2023-10-29 0
2023-10-31,2023-10-31,18,18,4552,2023-10-31 18
2023-11-06,2023-11-06,18,18,4337,2023-11-06 18
2023-11-14,2023-11-14,23,23,3820,2023-11-14 23
2023-11-08,2023-11-08,20,20,3425,2023-11-08 20
2023-11-21,2023-11-21,19,19,3256,2023-11-21 19
2023-11-12,2023-11-12,16,16,2645,2023-11-12 16
2023-11-20,2023-11-20,16,16,2609,2023-11-20 16
2023-11-04,2023-11-04,0,0,2082,2023-11-04 0
2023-10-29,2023-10-29,1,1,1956,2023-10-29 1
2023-11-11,2023-11-11,15,15,1953,2023-11-11 15
2023-11-21,2023-11-21,20,20,1887,2023-11-21 20
2023-11-15,2023-11-15,22,22,1885,2023-11-15 22
2023-11-18,2023-11-18,16,16,1691,2023-11-18 16
2023-11-20,2023-11-20,20,20,1633,2023-11-20 20
2023-11-06,2023-11-06,17,17,1589,2023-11-06 17
2023-11-16,2023-11-16,23,23,1579,2023-11-16 23
2023-11-17,2023-11-17,21,21,1567,2023-11-17 21
2023-11-20,2023-11-20,21,21,1432,2023-11-20 21
2023-10-25,2023-10-25,21,21,1227,2023-10-25 21
2023-11-18,2023-11-18,11,11,1145,2023-11-18 11
2023-10-24,2023-10-24,0,0,1116,2023-10-24 0
2023-11-20,2023-11-20,15,15,778,2023-11-20 15
2023-11-04,2023-11-04,1,1,694,2023-11-04 1
2023-10-29,2023-10-29,20,20,688,2023-10-29 20
2023-11-02,2023-11-02,0,0,612,2023-11-02 0
2023-11-16,2023-11-16,18,18,600,2023-11-16 18
2023-10-28,2023-10-28,0,0,549,2023-10-28 0
2023-11-18,2023-11-18,14,14,538,2023-11-18 14
2023-11-19,2023-11-19,0,0,473,2023-11-19 0
2023-10-24,2023-10-24,21,21,469,2023-10-24 21
2023-11-17,2023-11-17,20,20,346,2023-11-17 20
2023-10-24,2023-10-24,23,23,294,2023-10-24 23
2023-11-14,2023-11-14,17,17,272,2023-11-14 17
2023-10-28,2023-10-28,19,19,225,2023-10-28 19
2023-10-24,2023-10-24,22,22,176,2023-10-24 22
2023-11-18,2023-11-18,12,12,148,2023-11-18 12
2023-11-21,2023-11-21,0,0,137,2023-11-21 0
2023-11-01,2023-11-01,22,22,103,2023-11-01 22
2023-10-27,2023-10-27,23,23,53,2023-10-27 23
