word,Count,Median WPM,typed_word_without_mistakes
amounts,1,271.20955587498014,1.0
point,1,265.26688280022796,1.0
should,9,260.5428482616545,1.0
ends,1,253.3037671547338,1.0
friends,3,251.75018828816167,1.0
either,1,250.90500039726624,1.0
parents,1,250.28440054800367,1.0
things,46,248.62332024492974,0.9130434782608695
friend,4,247.86349788927697,1.0
eat,21,246.69801558857347,0.9523809523809523
east,2,245.75404289649296,1.0
each,12,243.92996497902516,0.9166666666666666
sound,4,242.99271483772492,1.0
shake,2,240.1311320414515,1.0
year,41,239.14732022972092,0.9512195121951219
ground,3,236.92440531974265,1.0
around,11,235.7115427615113,0.9090909090909091
could,5,235.00455517162774,1.0
going,4,234.7916366184936,1.0
would,7,233.976600000234,1.0
area,1,233.32889360299674,1.0
cloud,18,229.66161953754732,0.7777777777777778
about,17,229.17111481434657,0.9411764705882353
and,829,229.13604889254094,0.9794933655006032
bonds,1,228.79673888381512,1.0
other,12,228.69667643347566,1.0
field,15,228.5530572590165,1.0
their,183,227.65966246419572,0.9562841530054644
broken,3,227.56328708846993,1.0
authorities,1,227.30141390089346,1.0
out,91,226.91931190500654,0.945054945054945
ear,1,226.71909755722768,1.0
oil,21,226.65101095794682,1.0
into,51,226.3146405298403,0.9803921568627451
heads,5,226.29818784182814,1.0
wounds,1,225.6139519667896,1.0
own,14,225.55883176050258,0.9285714285714286
outsider,1,225.3770311224551,1.0
healthy,1,225.15881738011632,1.0
takes,6,225.02837185984765,0.8333333333333334
our,5,224.93125538507292,1.0
known,4,224.35344492089914,1.0
found,6,223.52553212419912,1.0
thousand,43,222.30635900392855,0.8604651162790697
faith,6,222.24553256296127,1.0
thing,5,221.70065091311108,1.0
blue,4,221.62614548714328,1.0
heard,11,221.30250540254744,1.0
taken,14,220.96499372191454,1.0
mean,1,220.62067951169288,1.0
count,6,220.17083624182038,1.0
the,1752,220.1099373142349,0.9743150684931506
bake,1,219.95858363169035,1.0
this,49,219.3291088109986,0.9795918367346939
does,6,218.7623938282996,1.0
healing,2,218.69329793957928,1.0
cried,2,218.23811254502104,1.0
break,5,218.10171536999138,1.0
grown,3,218.05946699724484,1.0
mouth,1,218.0094717848508,1.0
greatest,1,217.9465349906351,1.0
counted,65,217.93699285867177,0.9692307692307692
spent,2,217.3543876802773,1.0
pans,1,217.3222100582152,1.0
south,4,216.88507670152336,0.75
South,1,216.7938644445777,1.0
doing,3,216.6946624131912,0.6666666666666666
great,15,216.584448803407,1.0
rains,1,216.22018999268096,1.0
founded,1,216.08078334428745,1.0
anger,1,216.0366138853213,1.0
able,17,215.52633776748837,0.8823529411764706
ahead,1,214.30982414093015,1.0
priest,40,214.01205241100888,0.85
read,2,213.7582728920147,1.0
chance,1,213.5908447844231,1.0
entering,1,213.45993879480963,1.0
teacher,2,213.41903118984294,1.0
valuations,1,213.33693635714735,1.0
ashore,1,212.3142250530786,1.0
shoulder,1,211.68982060831274,1.0
lie,3,211.28298068638796,0.6666666666666666
fail,1,210.72123292993388,1.0
preached,1,210.414694485535,1.0
hearing,3,209.86830763695784,1.0
bound,3,209.59139110347422,1.0
teaching,2,209.48933323933485,1.0
choked,2,209.3724070126632,1.0
cake,1,209.23146666899146,1.0
thousands,5,208.7828770203126,0.8
easier,1,208.72215081219002,1.0
nations,5,208.70374106424993,0.8
clean,5,208.69637807435853,1.0
front,3,208.53064097105766,1.0
another,13,208.38449917018315,0.8461538461538461
leap,1,208.3317961629623,1.0
looked,1,208.19574100912476,1.0
foundation,3,208.1298647103847,1.0
fear,5,207.75290561915347,1.0
flesh,2,207.53596123422278,1.0
days,23,207.47668156608586,0.9565217391304348
knows,2,207.42531877237653,1.0
touch,3,207.39401129053002,1.0
cries,1,207.36698876520217,1.0
plague,1,207.18422821572943,1.0
power,8,207.1520857864714,1.0
place,13,206.92302360060546,0.8461538461538461
everything,1,206.6860170708871,1.0
they,163,206.57813645863098,0.9447852760736196
stay,1,206.35327336477928,1.0
arrayed,1,206.34790010305113,1.0
means,3,206.2485755957748,1.0
