Word,Count,Median WPM,Mistake-Free Entry Proportion
each,58,258.65822867640895,0.9137931034482759
friends,11,254.78897103474048,0.9090909090909091
should,87,249.7957399418184,0.7931034482758621
parents,9,249.39899296249482,1.0
ground,52,243.56853586924217,0.8653846153846154
eats,9,241.39186549645254,0.8888888888888888
things,195,240.85205428403884,0.8358974358974359
past,7,240.4092968278494,0.8571428571428571
could,20,237.40688148295328,0.95
around,61,235.83484223959246,0.9180327868852459
friend,8,235.71471826318887,1.0
east,22,235.16813082163827,0.9090909090909091
year,90,233.33704138235214,0.9666666666666667
and,6115,231.91572697849884,0.9746524938675388
found,79,231.22144655990658,0.9620253164556962
would,94,230.9560286750393,0.9468085106382979
sound,7,230.21361905401386,1.0
out,776,229.9944866648626,0.9523195876288659
going,42,228.71311741391312,1.0
their,743,227.9966165302107,0.9528936742934051
plains,14,227.80120896134218,0.9285714285714286
thousand,148,227.15791225049213,0.8581081081081081
blue,5,225.79161127716205,1.0
thousands,29,225.27666790777423,0.8275862068965517
tokens,5,222.84329473811272,1.0
anything,35,222.43229716954903,0.8285714285714286
able,44,222.41001304535808,0.9545454545454546
taken,57,221.9635114183579,0.9122807017543859
makes,13,221.8751929851939,0.7692307692307693
created,24,221.61307867951257,0.875
cloud,32,220.77292915635508,0.8125
does,42,220.47602830913036,0.9523809523809523
other,99,219.7840841157647,0.9494949494949495
takes,15,219.60839431126414,0.8
about,112,219.59047146667086,0.9553571428571429
faith,12,219.37097536364035,1.0
count,12,219.20958931105648,0.9166666666666666
the,11925,219.1405914726309,0.9691404612159329
heard,112,218.87876489665342,0.9553571428571429
counted,98,218.51848369026615,0.9693877551020408
break,16,218.08954715625617,0.875
great,146,217.92458792690442,0.9794520547945206
field,72,217.80954726722325,0.9027777777777778
goes,24,217.7548967686601,1.0
thought,10,217.64325738095442,1.0
fail,12,217.60618732489428,0.8333333333333334
broken,16,216.9523400532816,1.0
cause,38,216.79102451314603,0.9736842105263158
into,415,215.76718720500583,0.9493975903614458
young,103,215.67473661621435,0.8737864077669902
rings,10,215.4501968568967,0.8
priest,127,215.40208688721845,0.9133858267716536
south,30,215.13525492806397,0.8666666666666667
eat,134,214.16263356518874,0.9626865671641791
greater,20,213.92962504228058,1.0
teacher,5,213.30657182311606,1.0
plain,7,213.2700916421584,1.0
lands,66,213.0366861400925,0.9696969696969697
end,39,213.0306089479957,0.9743589743589743
thanks,6,212.80223656664464,1.0
teaching,10,212.52330031674083,0.9
doing,15,212.25706736437917,0.8666666666666667
means,11,212.05647063813097,0.9090909090909091
feast,40,211.12322633803234,0.9
oil,51,210.57815988614743,0.9803921568627451
everything,11,209.75892930652128,0.8181818181818182
hands,58,208.97051343879056,0.9137931034482759
thing,72,208.9276547663839,0.9305555555555556
own,93,208.86831664900956,0.946236559139785
this,487,208.81676589813395,0.9281314168377823
guard,6,208.60506483509943,1.0
another,64,208.50249806700492,0.9375
broke,16,208.49833304367664,0.9375
hair,12,208.38145646875086,0.9166666666666666
touch,8,208.3662664814119,1.0
foundation,5,208.1298647103847,1.0
nothing,45,208.04855655168436,1.0
known,30,207.93472313607768,0.9333333333333333
death,82,207.83805588366644,0.926829268292683
fear,50,207.3165693865881,0.88
mouth,42,207.2787321010612,0.8333333333333334
sake,9,206.6293585880327,0.8888888888888888
days,169,206.35487018988948,0.9704142011834319
clean,24,205.87612637217342,0.9166666666666666
spent,5,205.67963751020682,1.0
flour,28,205.3273252162098,0.9285714285714286
they,927,205.27189545502364,0.9266450916936354
house,264,204.3732860013007,0.9090909090909091
take,144,204.25139549253748,0.9097222222222222
finds,12,204.18427443164404,0.9166666666666666
third,34,203.56124614189304,0.9411764705882353
child,25,203.4510037424812,1.0
brought,161,202.28168929291712,0.9503105590062112
bound,21,202.25705388330175,0.9047619047619048
goats,22,201.8114619004417,0.9545454545454546
outside,28,201.78918171925955,0.8571428571428571
reached,9,201.6828513153203,0.7777777777777778
least,8,201.66901599579265,0.75
lead,8,201.45749607665357,1.0
