word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
t,1,8.334159851074219,1,1,119.98809932486554,1439.8571918983866
a,1,22.72272109985352,1,1,44.008813715820615,528.1057645898474
s,1,32.7756404876709,1,1,30.510464025139846,366.1255683016782
the,1,111.63091659545898,1,3,26.87427543815435,322.4913052578522
oil,1,112.36405372619627,1,3,26.69892995592938,320.3871594711526
and,1,120.7728385925293,1,3,24.84002226793378,298.08026721520537
year,1,167.94371604919434,1,4,23.817503233216023,285.81003879859225
each,1,169.00014877319336,1,4,23.668618217420622,284.02341860904744
out,1,129.67324256896973,1,3,23.135073516838915,277.620882202067
your,1,175.77290534973145,1,4,22.756635853752822,273.07963024503385
their,1,223.6175537109375,1,5,22.35960423063801,268.3152507676561
friend,1,270.6406116485596,1,6,22.169621785333902,266.0354614240068
eat,1,136.10053062438965,1,3,22.042529784688366,264.5103574162604
ground,1,272.4440097808838,1,6,22.022873634937206,264.27448361924644
found,1,233.7744235992432,1,5,21.388139570697618,256.6576748483714
opens,1,234.7161769866944,1,5,21.302323786073938,255.62788543288724
you,1,142.49134063720703,1,3,21.053910971602203,252.64693165922642
they,1,191.145658493042,1,4,20.926449659046828,251.11739590856195
this,1,191.68400764465332,1,4,20.867677221227865,250.41212665473438
other,1,249.18580055236816,1,5,20.06534878358454,240.78418540301448
take,1,200.2427577972412,1,4,19.97575365022819,239.70904380273828
should,1,303.3521175384521,1,6,19.778994947149023,237.34793936578828
its,1,151.82113647460938,1,3,19.760094474735546,237.12113369682655
our,1,152.4500846862793,1,3,19.678572210527634,236.1428665263316
of,1,101.93419456481934,1,2,19.620501329690814,235.44601595628978
great,1,254.8654079437256,1,5,19.61819785721569,235.4183742865883
break,1,255.1901340484619,1,5,19.59323395727546,235.1188074873055
feast,1,255.25259971618647,1,5,19.58843908175456,235.06126898105475
in,1,102.20932960510254,1,2,19.56768533486355,234.8122240183626
those,1,257.09033012390137,1,5,19.448417206474918,233.38100647769903
does,1,206.1817646026612,1,4,19.400357775133582,232.80429330160297
said,1,206.1922550201416,1,4,19.399370745565907,232.7924489467909
into,1,206.883192062378,1,4,19.334581800120077,232.01498160144092
pins,1,207.1774005889893,1,4,19.307125143130044,231.68550171756053
make,1,207.78632164001465,1,4,19.250545312265135,231.00654374718164
as,1,104.04086112976074,1,2,19.2232165159185,230.67859819102202
neither,1,366.12486839294434,1,7,19.119160167200754,229.42992200640904
another,1,366.6195869445801,1,7,19.093360663946612,229.12032796735934
would,1,262.425184249878,1,5,19.053049402602543,228.63659283123053
an,1,105.19886016845705,1,2,19.011612833041724,228.1393539965007
south,1,263.2596492767334,1,5,18.992656161841566,227.9118739420988
going,1,263.4291648864746,1,5,18.980434463871003,227.76521356645202
thousand,1,422.9862689971924,1,8,18.913143490369663,226.95772188443595
on,1,105.77678680419922,1,2,18.907740161384844,226.89288193661812
under,1,264.5576000213623,1,5,18.89947595380463,226.79371144565556
don,1,159.91449356079102,1,3,18.76002564370164,225.12030772441966
are,1,160.6433391571045,1,3,18.674910617153493,224.09892740584192
four,1,214.6928310394287,1,4,18.631269524157485,223.5752342898898
brought,1,377.1543502807617,1,7,18.560040457677477,222.72048549212974
thing,1,270.28417587280273,1,5,18.499048210476918,221.98857852572303
