Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Start_Year,Local_Start_Month,Local_Start_Hour,Count,Local_Start_Date,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,Mistake_Free_Test,WPM_Rank,WPM_Percentile,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Min Character Time (ms),Median Character Time (ms),Max Character Time (ms),Backspace % Last 10 Avg,Backspace % Last 100 Avg,Backspace % Last 1000 Avg,Session,Test_#_Within_Session,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Scatter_X_Values
9694,1710600740.5907626,2024-03-16 10:52:20.590762,2024-03-16 14:52:20.590762+00:00,62,3.7837376,16.38591428750239,196.6309714500287,JHN,8,30689,They didn't understand that he spoke to them about the Father.,27.0,164.17006504243585,142.20305361431775,132.3130954891762,133.321,2024,3,10,1,2024-03-16,52,6,4,2,2024-03-16 10:52:24.374499600,2024,3,2024-03-16,10,52,4,6,2,1.0,8,99.92830807046292,0.0,0.0,,,,,,,208,50,2.6718404302413394,4.587106040115979,6.850652772372426,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,3.6718609580085393,8.153507053753223,,0
9685,1710600634.9941893,2024-03-16 10:50:34.994189,2024-03-16 14:50:34.994189+00:00,84,5.3047261,15.83493632215997,190.01923586591963,JHN,8,30680,"I am one who testifies about myself, and the Father who sent me testifies about me.""",18.0,148.97409597221213,140.0154168774601,132.0106527711099,133.295,2024,3,10,1,2024-03-16,50,6,4,2,2024-03-16 10:50:40.298915100,2024,3,2024-03-16,10,50,4,6,2,1.0,16,99.84637443670628,0.0,0.0,,,,,,,208,41,3.4135671841547817,4.716992341257938,6.883004731074324,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,5.228614258511255,8.522203495069643,,1
9349,1710171012.2966692,2024-03-11 11:30:12.296669,2024-03-11 15:30:12.296669+00:00,100,6.5866439,15.182238711887855,182.18686454265423,JHN,5,30523,It is another who testifies about me. I know that the testimony which he testifies about me is true.,32.0,148.7426787585693,139.99500127371982,129.15392329157277,133.073,2024,3,11,1,2024-03-11,30,4,3,2,2024-03-11 11:30:18.883312900,2024,3,2024-03-11,11,30,3,4,2,1.0,46,99.5391233101188,0.0,0.0,,,,,,,203,14,3.738253732789152,5.286069328202286,7.460850823417817,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.207515709078619,,,2
9663,1710600334.934465,2024-03-16 10:45:34.934465,2024-03-16 14:45:34.934465+00:00,56,3.7041099,15.11834192608594,181.42010311303127,JHN,7,30658,"But this multitude that doesn't know the law is cursed.""",49.0,146.5959138016839,136.0340843460298,131.46759043163414,133.263,2024,3,10,1,2024-03-16,45,5,4,2,2024-03-16 10:45:38.638574900,2024,3,2024-03-16,10,45,4,5,2,1.0,57,99.4264645637034,0.0,0.0,,,,,,,208,19,4.32659981736807,5.478075307864637,6.929889841100818,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,8.941119600075456,9.919648254771651,,3
9693,1710600727.491164,2024-03-16 10:52:07.491163,2024-03-16 14:52:07.491163+00:00,155,10.5015532,14.759721447680713,177.11665737216853,JHN,8,30688,"I have many things to speak and to judge concerning you. However, he who sent me is true; and the things which I heard from him, these I say to the world.""",26.0,157.37602689039096,141.50510319843934,132.23288574925755,133.314,2024,3,10,1,2024-03-16,52,6,4,2,2024-03-16 10:52:17.992716200,2024,3,2024-03-16,10,52,4,6,2,1.0,119,98.7914789020893,0.0,0.0,,,,,,,208,49,3.7829515413524506,4.668738693177204,6.863947570060287,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,5.338527624675206,8.296364196610368,,4
9419,1710172027.2254562,2024-03-11 11:47:07.225456,2024-03-11 15:47:07.225456+00:00,65,4.4103167,14.738170617089695,176.85804740507638,JHN,6,30597,"He said these things in the synagogue, as he taught in Capernaum.",59.0,154.0226528244358,145.42852134908003,129.5196817230376,133.169,2024,3,11,1,2024-03-11,47,5,4,2,2024-03-11 11:47:11.635772700,2024,3,2024-03-11,11,47,4,5,2,1.0,127,98.70954526833266,0.0,0.0,,,,,,,203,84,4.829862928229949,5.207086239204367,7.332746455157954,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,7.311168204607928,9.21162489535065,,0
9696,1710600843.8690815,2024-03-16 10:54:03.869081,2024-03-16 14:54:03.869081+00:00,113,7.6741501,14.724757598890331,176.69709118668396,JHN,8,30691,"He who sent me is with me. The Father hasn't left me alone, for I always do the things that are pleasing to him.""",29.0,163.36191699448085,142.41458444723378,132.38149055170237,133.327,2024,3,10,1,2024-03-16,54,6,4,2,2024-03-16 10:54:11.543231100,2024,3,2024-03-16,10,54,4,6,2,1.0,128,98.69930356411308,0.0,0.0,,,,,,,208,52,2.833148654740951,4.594360850792578,6.8460245402518645,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,4.325603234822333,8.188850008439754,,1
9352,1710171034.7114182,2024-03-11 11:30:34.711418,2024-03-11 15:30:34.711418+00:00,94,6.4112639,14.661695644754229,175.94034773705073,JHN,5,30526,"He was the burning and shining lamp, and you were willing to rejoice for a while in his light.",35.0,150.92892313727032,140.92810413977497,129.23452071168302,133.082,2024,3,11,1,2024-03-11,30,4,3,2,2024-03-11 11:30:41.122681900,2024,3,2024-03-11,11,30,3,4,2,1.0,149,98.48422777550184,0.0,0.0,,,,,,,203,17,3.933660536808624,5.137118433044354,7.447918026928344,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.477847389406722,,,2
9382,1710171445.41983,2024-03-11 11:37:25.419830,2024-03-11 15:37:25.419830+00:00,117,7.980748,14.660279963732725,175.9233595647927,JHN,6,30559,They were willing therefore to receive him into the boat. Immediately the boat was at the land where they were going.,21.0,147.21797444126992,141.85405172888267,129.40905879779282,133.131,2024,3,11,1,2024-03-11,37,4,3,2,2024-03-11 11:37:33.400578000,2024,3,2024-03-11,11,37,3,4,2,1.0,150,98.47398607128224,0.0,0.0,,,,,,,203,47,4.791759676793428,5.245913095318249,7.358006133353046,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.656828037764069,,,3
9667,1710600405.2548058,2024-03-16 10:46:45.254805,2024-03-16 14:46:45.254805+00:00,31,2.120665,14.618056128620031,175.4166735434404,JHN,7,30662,"Everyone went to his own house,",53.0,150.58752562117718,137.20392742136107,131.62162721469412,133.268,2024,3,10,1,2024-03-16,46,5,4,2,2024-03-16 10:46:47.375470000,2024,3,2024-03-16,10,46,4,5,2,1.0,159,98.38181073330604,0.0,0.0,,,,,,,208,23,2.2866495950019994,5.202081524677336,6.904749792438362,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,4.275680142384948,9.42962297674454,,4
