Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Start_Year,Local_Start_Month,Local_Start_Hour,Count,Local_Start_Date,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,Mistake_Free_Test,WPM_Rank,WPM_Percentile,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Min Character Time (ms),Median Character Time (ms),Max Character Time (ms),Backspace % Last 10 Avg,Backspace % Last 100 Avg,Backspace % Last 1000 Avg,Session,Test_#_Within_Session,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg
9336,1710170797.4723666,2024-03-11 11:26:37.472366,2024-03-11 15:26:37.472366+00:00,192,16.7784497,11.443250326041744,137.31900391250093,JHN,5,30510,"Jesus therefore answered them, ""Most certainly, I tell you, the Son can do nothing of himself, but what he sees the Father doing. For whatever things he does, these the Son also does likewise.",19.0,137.5855924812357,138.50053139373142,128.90382394170783,133.048,2024,3,11,1,2024-03-11,26,3,2,1,2024-03-11 11:26:54.250815700,2024,3,2024-03-11,11,26,2,3,1,0.0,4263,56.349856616140926,3.125,8.333333333333334,,,,,,,203,1,6.676313594258994,5.5213220740891815,7.532080478896743,v2,home,cherry red,dvorak,yes,,,,0.0,88.23529411764706,13.541666666666686,12.1941035413747,,
9337,1710170816.220335,2024-03-11 11:26:56.220335,2024-03-11 15:26:56.220335+00:00,152,11.0569857,13.74696541391023,164.96358496692275,JHN,5,30511,"For the Father has affection for the Son, and shows him all things that he himself does. He will show him greater works than these, that you may marvel.",20.0,140.52806527290295,138.7138255228599,128.92871587135477,133.052,2024,3,11,1,2024-03-11,26,3,2,1,2024-03-11 11:27:07.277320700,2024,3,2024-03-11,11,27,2,3,1,0.0,611,93.7525604260549,1.3157894736842106,4.605263157894737,,,,,,,203,2,6.901545792401407,5.540529068084237,7.531622450915398,v2,home,cherry red,dvorak,yes,,,,0.0,96.55172413793105,5.921052631578959,12.31562056923848,,
9338,1710170831.9075706,2024-03-11 11:27:11.907570,2024-03-11 15:27:11.907570+00:00,106,7.3919123,14.33999697209611,172.07996366515331,JHN,5,30512,"For as the Father raises the dead and gives them life, even so the Son also gives life to whom he desires.",21.0,142.4006518198998,138.88818124766613,128.98868639584612,133.056,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:27:19.299482300,2024,3,2024-03-11,11,27,2,3,1,1.0,268,97.26546497337158,0.0,0.0,,,,,,,203,3,6.3004528962265445,5.540529068084237,7.515984590833093,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,11.168079585631922,,
9339,1710170841.4236865,2024-03-11 11:27:21.423686,2024-03-11 15:27:21.423686+00:00,71,6.27921,11.3071548809484,135.68585857138078,JHN,5,30513,"For the Father judges no one, but he has given all judgment to the Son,",22.0,143.35855631236478,138.95911172036594,128.9847678739759,133.056,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:27:27.702896000,2024,3,2024-03-11,11,27,2,3,1,0.0,4550,53.410487505120855,1.408450704225352,1.408450704225352,,,,,,,203,4,5.989320565519137,5.501583272096187,7.511974322325496,v2,home,cherry red,dvorak,yes,,,,0.0,93.33333333333331,2.816901408450704,10.376323398793376,,
9340,1710170851.3073168,2024-03-11 11:27:31.307316,2024-03-11 15:27:31.307316+00:00,126,10.2244347,12.32341969967298,147.88103639607576,JHN,5,30514,"that all may honor the Son, even as they honor the Father. He who doesn't honor the Son doesn't honor the Father who sent him.",23.0,147.05773322029373,139.13409657296663,128.99870266192067,133.058,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:27:41.531750700,2024,3,2024-03-11,11,27,2,3,1,0.0,2442,75.0,1.5873015873015872,4.761904761904762,,,,,,,203,5,5.024833075607917,5.5134880340009484,7.514355274706448,v2,home,cherry red,dvorak,yes,,,,0.0,96.0,9.523809523809518,8.701585707106531,,
9341,1710170862.4575365,2024-03-11 11:27:42.457536,2024-03-11 15:27:42.457536+00:00,166,13.7977558,12.030942017396772,144.37130420876127,JHN,5,30515,"""Most certainly I tell you, he who hears my word and believes him who sent me has eternal life, and doesn't come into judgment, but has passed out of death into life.",24.0,145.78268743202335,139.4631866527776,129.0055759645323,133.059,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:27:56.255291800,2024,3,2024-03-11,11,27,2,3,1,0.0,2993,69.35682097501025,1.8072289156626504,1.2048192771084338,,,,,,,203,6,4.9037691095989535,5.455472532504517,7.504807405811514,v2,home,cherry red,dvorak,yes,,,,0.0,96.875,3.614457831325296,8.579939702799447,,
9342,1710170879.4793258,2024-03-11 11:27:59.479325,2024-03-11 15:27:59.479325+00:00,132,9.4467128,13.973114542023549,167.67737450428257,JHN,5,30516,"Most certainly I tell you, the hour comes, and now is, when the dead will hear the Son of God's voice; and those who hear will live.",25.0,149.41220530170895,139.78108549144054,129.04076633762108,133.063,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:28:08.926037800,2024,3,2024-03-11,11,28,2,3,1,1.0,459,95.3092994674314,0.0,0.0,,,,,,,203,7,4.437102442932288,5.319670063368715,7.500134508615251,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,7.646606369466116,,
9343,1710170890.0224397,2024-03-11 11:28:10.022439,2024-03-11 15:28:10.022439+00:00,95,8.1309143,11.683802890408032,140.20563468489638,JHN,5,30517,"For as the Father has life in himself, even so he gave to the Son also to have life in himself.",26.0,149.58915559271898,140.11584105033407,129.0313888612815,133.063,2024,3,11,1,2024-03-11,28,3,2,1,2024-03-11 11:28:18.153353300,2024,3,2024-03-11,11,28,2,3,1,0.0,3768,61.41950020483409,4.2105263157894735,3.1578947368421053,,,,,,,203,8,3.909518422640594,5.2171026692737215,7.499902572843619,v2,home,cherry red,dvorak,yes,,,,0.0,90.47619047619048,8.42105263157896,7.163410427804736,,
9344,1710170900.6647542,2024-03-11 11:28:20.664754,2024-03-11 15:28:20.664754+00:00,75,6.31375,11.87883587408434,142.54603048901208,JHN,5,30518,"He also gave him authority to execute judgment, because he is a son of man.",27.0,148.8180847075227,139.6635265321599,129.0655648934774,133.064,2024,3,11,1,2024-03-11,28,3,2,1,2024-03-11 11:28:26.978504000,2024,3,2024-03-11,11,28,2,3,1,0.0,3337,65.83367472347399,1.3333333333333333,6.666666666666667,,,,,,,203,9,4.049869299833577,5.283769335940389,7.496939609880655,v2,home,cherry red,dvorak,yes,,,,0.0,93.33333333333331,10.666666666666686,7.0721823576293,,
9345,1710170908.2882097,2024-03-11 11:28:28.288209,2024-03-11 15:28:28.288209+00:00,94,6.5035143,14.453723888944166,173.44468666733,JHN,5,30519,"Don't marvel at this, for the hour comes in which all who are in the tombs will hear his voice",28.0,152.61744780663156,139.82186008564415,129.12439343114008,133.069,2024,3,11,1,2024-03-11,28,3,2,1,2024-03-11 11:28:34.791723300,2024,3,2024-03-11,11,28,2,3,1,1.0,214,97.818517001229,0.0,0.0,,,,,,,203,10,3.0138332637975407,5.283769335940389,7.484161832102878,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,5.450560736007681,,
9346,1710170965.7485192,2024-03-11 11:29:25.748519,2024-03-11 15:29:25.748519+00:00,136,10.7034765,12.706152061902504,152.47382474283006,JHN,5,30520,"and will come out; those who have done good, to the resurrection of life; and those who have done evil, to the resurrection of judgment.",29.0,154.1329298896645,139.83787787334757,129.14977758280665,133.071,2024,3,11,1,2024-03-11,29,3,2,1,2024-03-11 11:29:36.451995500,2024,3,2024-03-11,11,29,2,3,1,0.0,1819,81.38058172879967,1.4705882352941178,4.411764705882353,,,,,,,203,11,2.6216764010524427,5.31318110064627,7.471552320213016,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,8.823529411764724,4.978747010517485,,
9347,1710170982.3440113,2024-03-11 11:29:42.344011,2024-03-11 15:29:42.344011+00:00,150,16.4770001,9.10359890087031,109.24318681044372,JHN,5,30521,"I can of myself do nothing. As I hear, I judge; and my judgment is righteous, because I don't seek my own will, but the will of my Father who sent me.",30.0,148.56089007401658,139.72492402264032,129.125091554061,133.068,2024,3,11,1,2024-03-11,29,3,2,1,2024-03-11 11:29:58.821011100,2024,3,2024-03-11,11,29,2,3,1,0.0,8528,12.668988119623108,10.0,13.333333333333334,,,,,,,203,12,3.494483418596302,5.308583399496846,7.468390808185524,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,90.625,23.333333333333314,6.719975080692921,,
9348,1710171006.3848195,2024-03-11 11:30:06.384819,2024-03-11 15:30:06.384819+00:00,52,4.8980805,10.616403711617236,127.3968445394068,JHN,5,30522,"""If I testify about myself, my witness is not valid.",31.0,144.09257816144196,139.38530798364974,129.103404339436,133.068,2024,3,11,1,2024-03-11,30,4,3,2,2024-03-11 11:30:11.282899500,2024,3,2024-03-11,11,30,3,4,2,0.0,6052,38.02744776730848,3.8461538461538463,3.8461538461538463,,,,,,,203,13,3.8790988032116864,5.347044937958384,7.472236962031679,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,90.0,7.692307692307693,7.48920584992369,,
9349,1710171012.2966692,2024-03-11 11:30:12.296669,2024-03-11 15:30:12.296669+00:00,100,6.5866439,15.182238711887855,182.18686454265423,JHN,5,30523,It is another who testifies about me. I know that the testimony which he testifies about me is true.,32.0,148.7426787585693,139.99500127371982,129.15392329157277,133.073,2024,3,11,1,2024-03-11,30,4,3,2,2024-03-11 11:30:18.883312900,2024,3,2024-03-11,11,30,3,4,2,1.0,46,99.5391233101188,0.0,0.0,,,,,,,203,14,3.738253732789152,5.286069328202286,7.460850823417817,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.207515709078619,,
