,Character,Time Used to Type Last Character (ms),Last 2 Characters,Time Used to Type Last 2 Characters (ms),Count,Rank
0,e,0.0,de,134.8426342010498,1,1
1,h,0.0,th,72.967529296875,1,2
2,e,0.0,de,137.1054649353027,1,3
3, ,0.0,s ,0.9877681732177734,1,4
4,h,0.2284049987792968,th,132.00044631958008,1,5
5,d,0.2963542938232422,nd,58.69221687316895,1,6
6,d,0.3192424774169922,ld,72.09062576293945,1,7
7,e,0.3442764282226562,he,28.693199157714844,1,8
8,l,0.3464221954345703,el,75.50930976867676,1,9
9,a,0.3600120544433594,ma,146.42858505249023,1,10
10,h,0.3633499145507812,ch,86.29107475280762,1,11
11,s,0.3714561462402344,gs,29.932737350463867,1,12
12,d,0.400543212890625,ld,59.85069274902344,1,13
13,s,0.4613399505615234,es,89.35070037841797,1,14
14,h,0.4696846008300781,th,114.8681640625,1,15
15,h,0.4885196685791015,ch,59.37671661376953,1,16
16,a,0.4992485046386719,ma,130.97739219665527,1,17
17,h,0.5018711090087891,wh,131.3173770904541,1,18
18,d,0.5114078521728516,id,87.77952194213867,1,19
19,r,0.5171298980712891,or,14.311790466308594,1,20
20,h,0.5261898040771484,th,58.53724479675293,1,21
21,o,0.5292892456054688, o,76.53236389160156,1,22
22,n,0.5295276641845703,an,7.024526596069336,1,23
23, ,0.5428791046142578,f ,99.39146041870116,1,24
24,d,0.5440711975097656,nd,86.18974685668945,1,25
25,s,0.5550384521484375,gs,44.08407211303711,1,26
26,l,0.5621910095214844,pl,60.60457229614258,1,27
27,f,0.5648136138916016,of,141.67284965515137,1,28
28,h,0.5719661712646484,th,118.36671829223631,1,29
29,e,0.5831718444824219,he,47.88613319396973,1,30
30,s,0.5905628204345703,ds,44.53539848327637,1,31
31,h,0.5970001220703125,th,102.16665267944336,1,32
32, ,0.6079673767089844,f ,99.2867946624756,1,33
33,h,0.6167888641357422,th,98.15835952758788,1,34
34,t,0.6189346313476562,at,180.3586483001709,1,35
35,e,0.6506443023681641,he,15.908241271972656,1,36
36,e,0.6542205810546875,he,132.16924667358398,1,37
37,l,0.6563663482666016,el,58.00914764404297,1,38
38,h,0.6570816040039062,sh,116.17469787597656,1,39
39,h,0.6661415100097656,th,99.19309616088869,1,40
40,e,0.6706714630126953,he,15.717267990112305,1,41
41, ,0.6728172302246094,f ,56.88071250915527,1,42
42,r,0.6763935089111328,ar,69.3671703338623,1,43
43,l,0.6780624389648438,pl,74.15461540222168,1,44
44,l,0.6811618804931641,pl,176.47814750671387,1,45
45,d,0.6833076477050781,nd,87.51296997070312,1,46
46,l,0.6911754608154297,pl,59.46826934814453,1,47
47,h,0.7138252258300781,th,116.55616760253906,1,48
48,l,0.7219314575195312,bl,82.60178565979004,1,49
49, ,0.7224082946777344,e ,71.86627388000488,1,50
