Character,Count,Time Used to Type Last Character (ms)
h,3834,28.41275
D,162,44.581050000000005
g,780,46.1683
_,11705,46.9251
e,5825,48.7289
R,141,52.5922
a,3759,56.7636
d,1595,56.8309
z,20,58.0162
u,1250,58.1525
o,4124,58.3962
n,3134,64.1018
r,2541,64.3695
k,267,69.4063
i,2676,72.26830000000001
",",939,72.3487
.,580,73.3519
y,1033,77.5965
s,3101,85.9599
O,144,86.7911
f,1614,86.9452
l,2396,87.57159999999999
v,395,87.9333
p,634,91.91069999999999
t,4053,97.0982
m,1070,98.07794999999999
',126,98.73615000000001
;,81,103.7203
c,809,107.1773
j,25,111.665
x,21,113.0693
E,25,118.3225
I,186,125.96465
J,39,126.8244
b,724,127.73175
G,61,129.276
Q,1,129.9072
A,41,131.6093
C,16,134.50920000000002
L,164,135.13395
w,790,135.96545
-,23,136.1003
H,46,136.31525
(,2,138.2159
T,83,145.0655
M,69,145.6864
Z,3,145.945
F,8,147.5251
B,10,148.25245
q,12,151.70175
S,65,158.0537
?,12,159.71785
P,12,170.8052
"""",97,173.7471
),4,177.11610000000002
!,8,187.85465
:,18,192.00455
N,18,194.52095
W,24,224.77735
Y,70,264.323
