Last 2 Characters,Count,Time Used to Type Last 2 Characters (ms)
gs,32,56.04435
h ,277,63.6055
he,1922,64.00704999999999
g ,235,71.6209
d ,790,72.54595
bt,1,72.6288
hs,14,78.31280000000001
ae,53,79.461
ld,87,79.8688
p.,5,82.3214
ea,376,83.26035
ng,410,85.8503
oa,34,86.13669999999999
o.,1,86.9937
io,80,87.34385
nd,506,87.36175
f;,1,87.4818
oe,23,87.7173
ak,117,88.6632
ha,767,88.8042
au,46,90.71915
ts,89,91.216
ua,14,92.9017
hn,4,93.17115000000001
ei,116,95.26655
u ,243,95.7142
r ,818,95.82875
RD,148,95.9324
nt,245,95.9404
ms,44,96.136
h.,22,96.19645
rd,87,96.3924
ai,78,96.66855
t ,849,96.8307
"g,",64,98.19835
g.,37,98.4147
ys,34,98.8923
s ,983,98.9096
lo,110,99.15795
lu,1,99.48
wn,24,100.5071
oy,4,100.76815
ay,159,101.6873
n ,861,102.0626
e ,2304,103.1873
ug,57,103.1922
ey,102,103.6328
h;,3,103.7227
mn,9,103.7835
k.,9,103.798
"h,",45,103.8135
ir,126,103.82605000000001
ie,114,103.85275
us,129,103.9753
ws,13,104.5333
y.,33,104.5469
w ,42,104.94624999999999
ur,243,104.9799
uc,18,105.78645
ue,23,109.1885
as,277,109.619
eo,46,110.1682
u.,19,110.7287
ou,650,110.76165
"e,",89,110.7994
o ,616,111.15195
f ,662,111.39475
f.,7,111.6861
c.,1,111.8411
ke,158,112.1178
ns,93,113.153
m ,238,115.04595
is,421,116.7735
ap,45,117.5447
ho,287,118.1956
gu,28,118.50765000000001
ch,178,118.9298
st,257,119.5681
 o,1008,119.58709999999999
ol,114,120.02425
y ,456,120.0444
or,531,120.0949
ar,275,120.1019
 q,2,120.18539999999999
id,67,120.5491
ps,6,120.64445
op,44,121.2817
es,423,121.5246
ig,79,121.532
ht,68,121.8589
le,299,123.9702
ia,16,125.08725000000001
lf,46,125.2764
 a,1137,125.8038
oi,23,126.6686
ul,49,127.1384
dl,5,127.4895
rk,12,127.5284
er,701,127.547
pl,72,127.67535000000001
an,839,127.7691
th,1814,127.84370000000001
ye,37,128.1413
k ,30,128.154
el,206,128.2858
"f,",11,128.5014
yt,11,128.6576
ut,180,128.96885
ds,21,128.9768
"t,",64,129.00165
il,203,129.4811
og,11,129.6067
ok,42,130.11345
 i,542,130.25615
r;,1,130.2842
ot,208,130.556
ce,112,130.5922
on,505,130.6583
en,388,130.92315000000002
av,59,130.9276
ac,108,131.0929
kl,7,131.3571
"y,",46,131.4727
ck,9,131.8778
D.,47,132.0925
d.,73,133.3845
ad,93,133.7607
kn,6,133.89825
os,82,134.37144999999998
ec,53,134.5609
ed,261,135.1356
D ,70,135.35215
it,335,135.4993
ro,212,135.55845
OR,138,135.5815
", ",877,135.631
re,471,135.7257
g;,2,135.73930000000001
hr,22,135.87615
at,439,136.0168
in,749,136.2458
lk,3,136.4665
za,8,136.5908
ag,33,137.3212
sh,554,137.3721
't,22,137.83905
of,724,138.7928
t',5,139.0224
gl,9,139.159
po,58,139.3025
yo,342,139.7398
eg,21,139.8253
cr,39,140.1397
"k,",5,140.2675
c ,1,140.369
n.,53,140.6724
t.,39,140.7378
ef,94,141.04680000000002
ve,330,141.565
if,76,141.94375000000002
 y,367,141.9525
sk,9,142.3827
oh,4,142.6812
ti,194,142.71765
ic,91,142.9643
"d,",117,142.9665
gr,21,143.4891
aw,20,143.69335
me,186,143.71605
 e,139,143.7705
e-,7,143.7801
ta,87,144.2214
ez,3,144.2865
al,635,144.3421
ly,114,144.5225
h',1,144.5805
d',5,144.5931
la,142,144.63684999999998
af,31,144.7272
et,93,144.7751
eh,14,144.86399999999998
ri,265,144.9346
 k,55,145.0817
. ,190,145.1322
yn,7,145.2067
lp,1,145.3864
se,350,145.4152
a ,236,145.47854999999998
ge,77,145.4824
ow,73,145.5719
te,231,145.5878
w.,3,145.7573
cl,121,145.9489
's,56,146.0444
eu,1,146.502
ew,14,147.03275000000002
"s,",138,147.757
pt,35,147.803
hy,8,148.01145000000002
iv,70,148.36535
bl,64,148.3668
im,179,148.4625
 u,154,148.67110000000002
m;,4,148.95389999999998
fr,67,149.0449
m.,37,149.125
am,159,149.6921
da,115,150.6648
l ,676,150.7495
mp,34,150.9838
ry,55,151.0547
pa,30,151.11624999999998
bj,1,151.2954
hu,15,151.6838
