word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
the,1,374.3913173675537,1,3,8.013006340782177,96.15607608938612
anointing,1,751.359224319458,1,9,11.978291752725509,143.7395010327061
oil,1,170.65000534057617,1,3,17.57984123125414,210.9580947750497
and,1,199.6402740478516,1,3,15.027028059884014,180.32433671860815
the,1,151.67808532714844,1,3,19.778730681689574,237.34476818027488
incense,1,473.5019207000733,1,7,14.783466959649266,177.40160351579118
of,1,128.54552268981934,1,2,15.558690479060909,186.7042857487309
sweet,1,415.44175148010254,1,5,12.035381571992707,144.42457886391247
spices,1,513.2195949554443,1,6,11.690902021231079,140.29082425477293
for,1,216.57919883728027,1,3,13.851745763700753,166.22094916440903
the,1,152.26292610168457,1,3,19.702760723227748,236.43312867873297
holy,1,320.528507232666,1,4,12.479389226670158,149.7526707200419
place,1,321.87461853027344,1,5,15.533998992622442,186.4079879114693
according,1,573.0254650115967,1,9,15.706108278831659,188.4732993459799
to,1,176.8181324005127,1,2,11.311057145823586,135.73268574988305
all,1,250.5407333374024,1,3,11.974100818009141,143.6892098161097
that,1,280.41720390319824,1,4,14.264460041406107,171.17352049687327
I,1,95.59893608093262,1,1,10.460367457995716,125.52440949594859
have,1,263.30113410949707,1,4,15.191730994734531,182.30077193681439
commanded,1,671.7343330383301,1,9,13.39815393876324,160.77784726515887
you,1,200.5016803741455,1,3,14.962468116984654,179.54961740381586
they,0,1245.9616661071775,1,4,3.210371642088642,38.524459705063705
shall,1,391.6094303131104,1,5,12.767823277397232,153.21387932876678
do,1,145.31683921813965,1,2,13.763029878441944,165.15635854130335
The,1,350.940465927124,1,3,8.54845847450085,102.5815016940102
LORD,1,431.3321113586426,1,4,9.273596596832304,111.28315916198764
spoke,1,423.06041717529297,1,5,11.818642910117198,141.82371492140638
to,1,176.9087314605713,1,2,11.305264491401047,135.66317389681257
Moses,1,384.52768325805664,1,5,13.002964981963336,156.03557978356002
saying,1,382.5976848602295,1,6,15.68226948940352,188.18723387284223
Speak,1,496.845006942749,1,5,10.063500548725742,120.7620065847089
also,1,352.1599769592285,1,4,11.358474164323056,136.30168997187667
to,1,153.1665325164795,1,2,13.057682818436959,156.6921938212435
the,1,159.79743003845215,1,3,18.77376876009901,225.28522512118812
children,1,575.139045715332,1,8,13.909679858459201,166.91615830151042
of,1,152.04644203186035,1,2,13.153875705824888,157.84650846989865
Israel,0,1823.0688571929927,1,6,3.2911538016387887,39.493845619665464
saying,1,399.3527889251709,1,6,15.024309749153288,180.29171698983944
Most,1,343.1992530822754,1,4,11.655037020261455,139.86044424313747
certainly,0,1223.5491275787354,1,9,7.355650702648922,88.26780843178706
you,1,272.46785163879395,1,3,11.010473279530421,132.12567935436505
shall,1,383.164644241333,1,5,13.049220681360131,156.59064817632157
keep,1,559.8406791687012,1,4,7.144889874632795,85.73867849559353
my,1,158.97226333618164,1,2,12.580811004562237,150.96973205474686
Sabbaths,1,750.4377365112305,1,8,10.66044471216471,127.9253365459765
for,1,173.34794998168945,1,3,17.306232928147615,207.67479513777138
it,1,119.99297142028809,1,2,16.667642915473674,200.01171498568408
is,1,143.8922882080078,1,2,13.899285534391113,166.79142641269337
a,1,121.6261386871338,1,1,8.22191685762844,98.66300229154128
sign,1,359.3335151672363,1,4,11.131719784441405,133.58063741329687
between,1,647.4456787109375,1,7,10.811717847799958,129.7406141735995
me,1,183.53581428527832,1,2,10.897055747884204,130.76466897461046
and,1,191.17140769958496,1,3,15.69272327959383,188.31267935512597
you,1,192.8539276123047,1,3,15.555814896499886,186.66977875799864
throughout,0,2681.2102794647217,1,10,3.729658981464298,44.75590777757158
your,1,342.5779342651367,1,4,11.67617525799025,140.114103095883
generations,1,696.2196826934814,1,11,15.799610774352201,189.5953292922264
that,1,264.65320587158203,1,4,15.114118821371559,181.3694258564587
you,1,190.9146308898925,1,3,15.713829715493155,188.56595658591786
may,1,207.282304763794,1,3,14.47301545309723,173.67618543716674
know,1,264.6760940551758,1,4,15.112811809766766,181.3537417172012
that,1,273.0593681335449,1,4,14.648829034291632,175.7859484114996
I,1,95.8104133605957,1,1,10.43727883978918,125.24734607747016
am,1,160.99166870117188,1,2,12.423003104044737,149.07603724853684
the,1,160.22944450378418,1,3,18.72315047518715,224.6778057022458
LORD,1,279.27541732788086,1,4,14.322778704521046,171.87334445425256
who,1,270.77317237854004,1,3,11.07938417106555,132.9526100527866
sanctifies,0,1911.7653369903564,1,10,5.230767503998553,62.76921004798264
you,1,175.07290840148926,1,3,17.135718069640983,205.6286168356918
You,1,302.57296562194824,1,3,9.914963796694149,118.97956556032979
shall,1,375.5357265472412,1,5,13.314312451630393,159.7717494195647
keep,1,424.649715423584,1,4,9.419528271695741,113.0343392603489
the,1,167.19746589660645,1,3,17.94285567614509,215.3142681137411
Sabbath,1,590.3439521789551,1,7,11.857494218689041,142.2899306242685
therefore,1,616.6379451751709,1,9,14.595274375214345,175.14329250257214
for,1,279.86645698547363,1,3,10.719398216970724,128.6327786036487
it,1,126.4801025390625,1,2,15.812763903969115,189.7531668476294
is,1,120.00203132629396,1,2,16.666384542790443,199.99661451348533
holy,1,311.9947910308838,1,4,12.820726867853532,153.8487224142424
to,1,177.00672149658203,1,2,11.299005953503407,135.58807144204087
you,0,967.0894145965576,1,3,3.1020916522507025,37.22509982700843
Everyone,1,599.4210243225098,1,8,13.346211886781797,160.15454264138157
who,1,168.03836822509766,1,3,17.85306553311275,214.236786397353
profanes,1,695.5230236053467,1,8,11.502135412471056,138.02562494965267
it,1,126.6193389892578,1,2,15.795375461324097,189.54450553588916
shall,1,393.0435180664063,1,5,12.721237649707861,152.65485179649434
surely,1,470.2134132385254,1,6,12.760163430209033,153.1219611625084
be,1,223.0679988861084,1,2,8.96587592118553,107.59051105422637
put,1,246.9320297241211,1,3,12.14909221518034,145.7891065821641
to,1,150.99263191223145,1,2,13.245679439262666,158.948153271152
death,1,273.1010913848877,1,5,18.308238808732494,219.6988657047899
for,1,262.70198822021484,1,3,11.419784145239106,137.03740974286927
whoever,0,1352.583885192871,1,7,5.175279756494983,62.10335707793979
does,1,216.35198593139648,1,4,18.488390493759407,221.86068592511288
