Character,Time Used to Type Last Character (ms),Last 2 Characters,Time Used to Type Last 2 Characters (ms),Count
n,117.8847,On,348.7607,1.0
 ,12.9148,n ,130.7995,1.0
t,120.5869, t,133.5017,1.0
h,12.289,th,132.8759,1.0
e,30.6306,he,42.9196,1.0
 ,64.6498,e ,95.2804,1.0
e,110.5228, e,175.1726,1.0
t,314.4703,ht,501.2916,1.0
h,29.5941,th,344.0644,1.0
 ,73.5055,h ,103.0996,1.0
d,203.1859, d,276.6914,1.0
a,42.1588,da,245.3447,1.0
y,75.0779,ay,117.2367,1.0
 ,40.5035,y ,115.5814,1.0
h,118.3651, h,158.8686,1.0
e,42.3436,he,160.7087,1.0
 ,58.3189,e ,100.6625,1.0
s,102.0137, s,160.3326,1.0
h,29.4643,sh,131.478,1.0
a,58.7688,ha,88.2331,1.0
l,87.028,al,145.7968,1.0
b,116.8984, b,158.8351,1.0
r,42.7634,br,159.6618,1.0
i,88.0747,ri,130.8381,1.0
n,71.1791,in,159.2538,1.0
g,29.1375,ng,100.3166,1.0
 ,44.8466,g ,73.9841,1.0
t,142.2227, t,187.0693,1.0
h,13.4789,th,155.7016,1.0
e,87.6341,he,101.113,1.0
m,57.6588,em,145.2929,1.0
 ,28.5922,m ,86.251,1.0
f,117.9737, f,146.5659,1.0
 ,42.0029,r ,108.3973,1.0
h,118.6917, h,160.6946,1.0
i,79.8623,hi,198.554,1.0
s,35.4911,is,115.3534,1.0
 ,44.1987,s ,79.6898,1.0
c,105.299, c,149.4977,1.0
l,26.4374,cl,131.7364,1.0
e,28.7782,le,55.2156,1.0
a,59.0426,ea,87.8208,1.0
n,71.9811,an,131.0237,1.0
s,130.6811,ns,202.6622,1.0
i,72.667,si,203.3481,1.0
n,55.934,in,128.601,1.0
g,30.1402,ng,86.0742,1.0
 ,32.9621,g ,63.1023,1.0
t,129.6088, t,162.5709,1.0
o,52.8292,to,182.438,1.0
 ,28.616,o ,81.4452,1.0
t,93.2719, t,121.8879,1.0
h,23.0423,th,116.3142,1.0
e,57.9894,he,81.0317,1.0
 ,30.3814,e ,88.3708,1.0
p,115.1041, p,145.4855,1.0
r,43.0892,pr,158.1933,1.0
i,103.3162,ri,146.4054,1.0
e,26.8516,ie,130.1678,1.0
s,43.6488,es,70.5004,1.0
t,67.1385,st,110.7873,1.0
",",42.4752,"t,",109.6137,1.0
 ,66.8193,", ",109.2945,1.0
t,116.7763, t,183.5956,1.0
o,84.5977,to,201.374,1.0
 ,74.1744,o ,158.7721,1.0
t,88.5056, t,162.68,1.0
h,28.3803,th,116.8859,1.0
e,25.2185,he,53.5988,1.0
 ,28.9162,e ,54.1347,1.0
d,130.2044, d,159.1206,1.0
o,58.3768,do,188.5812,1.0
o,130.4425,oo,188.8193,1.0
r,14.6472,or,145.0897,1.0
 ,29.3639,r ,44.0111,1.0
o,132.9354, o,162.2993,1.0
f,99.8307,of,232.7661,1.0
 ,43.4909,f ,143.3216,1.0
t,117.0947, t,160.5856,1.0
h,12.5568,th,129.6515,1.0
e,59.2396,he,71.7964,1.0
 ,44.0495,e ,103.2891,1.0
T,129.3318, T,173.3813,1.0
e,78.0512,Te,207.383,1.0
n,63.4156,en,141.4668,1.0
t,14.5391,nt,77.9547,1.0
 ,43.8826,t ,58.4217,1.0
o,59.1658, o,103.0484,1.0
f,72.9802,of,132.146,1.0
 ,15.2619,f ,88.2421,1.0
M,144.1822, M,159.4441,1.0
e,72.3529,Me,216.5351,1.0
e,129.7092,ee,202.0621,1.0
t,60.9388,et,190.648,1.0
i,74.9838,ti,135.9226,1.0
n,84.0515,in,159.0353,1.0
g,35.4194,ng,119.4709,1.0
",",20.5915,"g,",56.0109,1.0
 ,78.0664,", ",98.6579,1.0
b,128.1964, b,206.2628,1.0
e,62.3801,be,190.5765,1.0
f,92.1951,ef,154.5752,1.0
o,15.7737,fo,107.9688,1.0
r,72.7707,or,88.5444,1.0
e,74.6617,re,147.4324,1.0
 ,70.7736,e ,145.4353,1.0
t,87.4918, t,158.2654,1.0
h,41.5307,th,129.0225,1.0
e,29.8872,he,71.4179,1.0
 ,77.0989,e ,106.9861,1.0
L,114.6225, L,191.7214,1.0
O,89.8771,LO,204.4996,1.0
R,53.1161,OR,142.9932,1.0
D,49.0799,RD,102.196,1.0
.,208.532,D.,257.6119,1.0
e,26.7637,he,144.1084,1.0
 ,107.5241,e ,134.2878,1.0
p,67.3778, p,174.9019,1.0
r,93.1489,pr,160.5267,1.0
i,55.1415,ri,148.2904,1.0
e,27.176,ie,82.3175,1.0
s,42.1111,es,69.2871,1.0
t,44.343,st,86.4541,1.0
 ,37.6561,t ,81.9991,1.0
s,94.393, s,132.0491,1.0
h,41.8324,sh,136.2254,1.0
a,75.5724,ha,117.4048,1.0
l,57.5041,al,133.0765,1.0
l,117.5303,ll,175.0344,1.0
 ,27.5652,l ,145.0955,1.0
t,129.7985, t,157.3637,1.0
a,9.1664,ta,138.9649,1.0
k,30.4544,ak,39.6208,1.0
e,60.3788,ke,90.8332,1.0
 ,43.8106,e ,104.1894,1.0
t,143.9395, t,187.7501,1.0
h,29.2352,th,173.1747,1.0
e,45.8694,he,75.1046,1.0
 ,56.59,e ,102.4594,1.0
