word,typed_word_without_mistakes,word_duration (ms)
Also,1,688.143969
you,1,169.262171
shall,1,391.228914
take,1,223.81973299999999
some,1,286.055565
of,1,111.233711
the,1,150.873899
ram,1,242.93828000000002
s,1,40.060997
fat,1,263.890028
the,1,134.315252
fat,1,255.601168
tail,1,312.494516
the,1,157.66143799999998
fat,1,231.376171
that,1,263.536692
covers,1,544.462442
the,1,143.533468
innards,1,576.9748689999999
the,1,288.252831
cover,1,376.034021
of,1,145.04647300000002
the,1,127.114534
liver,1,393.923521
the,1,176.743507
two,1,287.28675799999996
kidneys,1,679.713249
the,1,239.98451200000002
fat,1,278.92518
that,1,337.74375899999995
is,1,190.49263
on,1,215.40093399999998
them,1,289.361238
and,1,165.989161
the,1,126.453876
right,1,328.081608
thigh,1,378.244877
for,1,280.025005
it,1,117.97022799999999
is,1,104.77519000000001
is,0,809.959888
a,1,128.823757
ram,1,295.364857
of,1,127.71654099999999
consecration,1,1008.0819130000001
and,1,383.3856582641601
one,1,161.4990234375
loaf,1,335.1309299468994
of,1,175.9936809539795
bread,1,351.423978805542
one,1,239.5663261413574
cake,1,231.7533493041992
of,1,177.9370307922363
oiled,1,361.537218093872
bread,1,320.4448223114013
and,1,176.8891811370849
one,1,241.2891387939453
wafer,1,543.4544086456299
out,1,191.655158996582
of,1,143.449068069458
the,1,166.8915748596191
basket,1,472.7225303649902
of,1,176.0251522064209
unleavened,1,856.8711280822754
bread,1,505.2957534790039
that,1,592.7326679229736
is,1,122.5976943969726
before,1,472.2161293029785
the,1,176.4979362487793
LORD,1,345.8068370819092
